text,label
The cuban missile crisis,0
You know the poem “the cry of the dreamer”? what’s the theme for that poem?,1
Are the german and japanese people similar?,1
Benifits of people with mental illness getting help they need,0
History of black friday,0
What does it say in chapter 6 about jay gatsby's work life?,0
Find history that happened in 2022 at merriweather arts and culture,0
What is the primary theme explored in pages 89 to 95 of 'dead end in norvelt'?,1
How much does el caudillo authentic mexican food make a year,0
"What does ""development of labeling theory – presence of social disorganization"" mean?",0
Why did many african americans participate in the great migration?,0
What time frame in general was important in determining and changing the rights and freedom of enslaved african americans,1
Definition of soil structure in soil moisture,0
Rainsford sets two traps for zaroff. how do each of them fail?,0
"In the book "" the lottery"" what does mr.summers symbolize?",0
Give a comparison to adapa and patroclus,0
Write and sop on the effectiveness of community based programs in reducing juvenile delinquency in urdaneta city,0
How would viktor from arcane portray penelope's character in homer's the odyssey?,0
List several questions about deviance and stigma by dr. bruce c. hoskins that create further discussion.,1
What is the difference between validity & reliability?,0
What event can support the fact that the era of good feelings was good,0
How did the narrative surrounding the tulsa race riots evolve in historical accounts and media coverage over the decades?,0
Find theses on mental health in schools,0
Can i have primary sources on the experiments of unit 731,0
What is a good esop communications committee name,0
Will wrist pain from typing cause something?,0
"What is the equation that relates magnetic field, velocity, and force?",1
Lung compliance of a patient with emphysema vs patient with fibrosis,0
Vision and mission of amul company,0
Lincoln: a photobiography: what does freedman say lincoln's toughest decision as president was?,0
Discuss the role of religion in legitimizing the authority of land-based empires during the early modern era.,1
What religious practices and cultural norms have a profound impact on consumer behavior in pakistan.,0
Does religion play an important role in shaping one's identity compared to culture or family,0
Who were the people involved in the second bank of the united states veto,1
What would've happened if katniss really was pregnant in catching fire?,0
Provide learning objectives for a lesson in reflection of lights.,0
Explain quantum physics with three sentences,0
What was the significance of the boston customs office during the boston tea party?,1
What were the trends in jobless claims during the clinton presidency?,1
Factors influencing committing suicide among college students globally,0
Techniques used in child and adolescent therapy based on erik erikson’s theory,0
How to make a best procurement consulting company,0
What does the erg group do and how strong is its reputation?,0
"What are the types of enemas, and how can each type be briefly yet substantially described? include a reference in apa format.",0
What firearm did ottoman field officers use?,1
What are some recent current events that involve motherhood/aging/health that can be related to a psychology of women class?,0
Social media and mental health of gen z,0
What exact year were african americans (men and women) finally given the right to vote in the united states,1
Conservative vs. liberitarian on economy,0
What did roosevelt mean to achieve with his demand for germany and japan’s unconditional surrender?,0
Why ramon magsaysay is the best president,1
Describe briefly the command and leadership style of gen patton and gen eisenhower,0
Which president purchased alaska?,0
"In the republic of texas, did sam houston have a good army when he was president?",1
Commonwealth era of the philippines,0
How many years did christopher columbus explore and what is the route he took,1
Why did harappan civilization fall,0
"How does daisy react to gatsby’s party, and what does this reaction reveal about her character and values?",1
"How does paper made from vegetable scraps compare in terms of texture, durability, and biodegradability?",1
I also want to be a warehouse manager or group administrator. can give more information for that position?,0
Enumerate and describe each of the five types of ionizing radiations,0
How is twitter connected to free speech absolutism?,0
"What are more concepts like ""vishkanyas"" in ancient or medieval india?",1
Best thriller novels involving the internet,1
Rrl for moringa oleifera as biofuel,0
Do you think the u.s. should not sgnificatnly reduce foreign aid?,0
How can nutrient management plans for potash (kcl) fertilizer be designed to minimize chloride runoff from agricultural fields into water?,0
What are some of the things the thriller genre in film consistently doesn’t show?,0
The effectiveness of eucalyptus oil in reducing blackhead,0
When was the last time a republican win the popular vote,0
Has any third-party candidate received electoral college votes in the 2024 u.s. election?,0
What are three examples of imagery from the prologue from “the tattoo” by chris mckinney,0
Why does ponyboy feel that dally can live with his parents not caring about him?,1
Laleh khalili’s heroes and martyrs of palestine,0
Ethical issues involving the use of humans and animals in psychological research?,0
Why did the massachusetts colonists hold the boston tea party?,0
Does china want to invade taiwan?,0
Offer reasons why nuclear weapons are one of the causes why humans could lead to our own extinction,0
Theme of the poem the writer,1
To what extent is the knowledge of health psychology important to practising psychology?,0
Impact and challenges encountered by students from broken families in terms of emotional and behavioral well-being,0
What factors are influencing voter turnout in this election compared to previous ones?,0
What is a supportive communication style,0
Explain the social theory on functionalism,0
Where do the müller cells of the retina extend between?,0
Philippine issues about colorism using in the argument,0
"A sociologist, he studied the relationship between patterns of style adoption and societal class structure",0
Why did huey p. long appeal to so many americans during the great depression?,1
Quotes that relate to the human osyche in macbeth act 1 scene 4,1
Explain the poem risk by anais nin and desiderata by max ehrman,1
"In short, what social structures exist in state?",0
Find research article on personal construct theory,0
Can you find primary sources detailing the events leading up to wwi?,1
Deep research on the level of erythropoietin being high or low in primary polycythemia and secondary polycythemia,0
Is florida predicted to be red or blue for this upcoming election?,0
"What role does fate play in odysseus's journey, and to what extent do the gods interfere in his life?",0
What is junior actual name in the diary of a part time indian?,0
What is the difference between a fixed schedule of reinforcement and a variable schedule of reinforcement?,0
Find research paper on the theory of planned behavior,2
Did eurylochus tell odysseus about circe in the odyssey?,1
Why does social erosion occur after heavy rains and flooding,0
"Parenting style, proactive personality, and career decision self-efficacy among senior high school students",0
Why do people buy journals and notebooks?,1
What states gained electoral votes for 2024,0
If u had to take a wild guess on whos winning the us election who would u say,0
The fibers of a​ ________ muscle are arranged much like a feather.,0
Why was obama able to win ohio,1
Why mid slope area showing highest value of soil quality index,1
What do we call the capacity to do work?,0
Development of modern science,0
How to control performance anxiety?,0
What color was the paint used on german ww2 canned food and jarred food crates?,0
Give me specific objective about study about recycling techniques of denim,0
What is a political action committee(pac)?,0
Did magellan go to the maldives,1
What is the most rare blood type,0
Find literature related to the psychology of dating,0
Was the earth's center described as dark in journey to the center of the earth,1
What is the scientific method in psychology,0
Role of women during pre spanish era,1
Give a rrl about impact of peer pressure in saving habits in college students,0
Why is it beneficial for somatic cells to have two identical copies of a chromosome,0
In which year did the most slaves arrive in barbados?,1
What are the difference in the leaves of c3 c4 and cam plants.,0
Create a title of advocacy of a concept paper about social change,0
In the valley of amazement excerpt by amy tan what was the authors fear?,0
How did eleanor roosevelts background as the first lady create a lasting legacy in social justice movements,0
10 positive advantages on biomass,0
Research articles on how does the rate of muscle glycogen depletion differ during steady-state versus interval cycling exercises?,1
"Where were the british under general howe's command located during the winter of 1777-78?
 saratoga
 boston
 philadelphia
 new york",0
How does media representation of events impact global perception of political conflict,0
What are some uncommon bio psychology of mental disorder?,0
"What are the central themes in mary shelley's ""frankenstein""?",0
Can too much coffee cause death?,0
What are the issues mozart encountered?,0
Current research trends of pcos,0
Examine how effective the socio-cultural method is at understanding risk,0
Describe the political strategy that resulted in three districts overwhelmingly voting democrat in north carolina 2018 elections,0
Can you provide 10 policy suggestions for addressing gender-related issues in the united states?,0
What is the date for the announcement of the final results of the 2024 u.s. election?,0
Different led light intensity for plants,0
What are endothelial cells,0
"Were the 1920’s a “roaring” era for african-americans, and if so in what sense?",0
Rainsford set two traps for zaroff. how did each of them fail?,0
What are some agricultural or genetic methods to improve drought resistance in crops through stomatal control?,0
How is light used to make food for plants?,1
"Related research studies and literatures about ""exploring mental health challenges of athletes with disabilities""",0
"Donald trump mentioned that tarrifs policy was used by some former president, who was that president?",0
What obstacles did tulsa residents face during the massacre and in its aftermath?,0
What is auxin transport in plants,0
How many parents do brittle stars require for reproduction?,0
What are the sub policies under the save the marikina river program,1
Do pine tree practice sexual or asexual reproduction?,1
"According to mccullough, what did president truman feel was his most difficult decision while in office and why?",0
"Why does opokuya object to esi's decision to become ali's second wife, saying ""first rule [is] already broken",0
"Find me research papers on ""effectiveness of pre-op respiratory rehab on post cabg complications and lung function""",0
Theme of the song of roland,0
What are some of the things that happened become of the destruction of the effects rainforest,1
Electoral college results by election list view,0
Why will donald trump win the 2024 election?,0
Reliable rrl(article) for increase in plastic waste records,0
Scn master biological clock research articles,0
Fundamental discovery of metabolic pathways utilizing e.coli,1
Find sources about the living conditions of german soldiers in ww1.,0
What are important details on how population impacts globlization?,0
Are men ending up getting more types of arthritis and cancer than women are?,0
List political behavior by marisa abrajano,0
Difference between popular and electoral votes in america and which determines the winner of the presidency?,0
Find research on the theory of planned behaviour,0
How would creating term limits for members of congress affect political corruption and abuse of power in america?,0
Give an unbiased political and value overview of both maria cantwell and dr raul garcia,0
What do the political cartoons of the watergate scandal tell us about the political climate at the time?,1
Type of encoding and presentation method experiment psychology,0
Explain why two species of organisms can share a habitat but not a niche.,0
"What are the traits of feminine theme, in rizal letter to young women of malolos",0
Changes of breast during postpartum,0
What are some case studies about biological disasters,1
Why was donald trump kicked out of twitter?,0
What does the word autobiography mean?,0
Political achievement of post-edsa regime,0
Investigating the role of light intentisty and duration on the growth and development of potato plants,0
How often does the agency evaluate programs and service delivery?,0
How do trump and europe view global governance? what are the differences and similarities?,0
What are the origins and foundational principles of the electoral college?,0
How does kingston debate her conscience through the no name women transitioning to shaman,0
Explain the significance of the number 270 in the context of the us presidential election.,1
What's the latest research on quantum computing,0
"Find research that shows the result ""a woman experiencing postpartum depression partly due to appearance-related factors""",0
Give me pros to the united states abolishing the electoral college,0
Was kamala harris president at one time? what did she do during this time?,0
What are the laws of reflection,1
How are the five american men standing by the pool described? (page 39),0
Understanding how diurnal variations in type 3 inflammation affect colorectal cancer,0
What is a good policy for authorization without technology,0
How is air pollution bad,0
Explain how poverty is affecting the philippines up to this day,0
Why does the electoral college exist,0
Does social media has negative effect to the student,0
What is the impact of social media on political awareness among humss student?,0
"What are the similarities and differences between decolonization, chican feminist and dindiigenous paradigms of psychology and mental health?",0
What effect will loam soil have on the plants living in the soil,1
Theories realted to gadget use and interpersonal relationships,0
What is chiral quantum optics?,0
Can two magnetic field be perpendicular to each other,0
How can reflection and refraction in physics be explained in simple terms?,1
"As a researcher, list the characteristics of schizophrenic and bipolar disorders",0
Case study on air pollution,0
What is social stratification in sociology,0
"What does low cd/p, zn/p, and cu/p indicate?",0
Find ideas for science project (species survival – more than just sustainability),0
How many different computational approaches are used for enzyme classification,0
How does cyber bullying affect mental health?,0
"In regards to the united states presidential election, what is the electorial college vote?",0
What are 2 reasons why cells divide rather than continue to grow indefinitely,0
Discuss the techniques used in detection of antigen antibody reactions,0
Which part of the vasa recta is deoxygenated,0
Carbon concentration mechanism in algae,0
"Why can't programs and intervention solve students mental health issues in philippine?
 10 reason",0
How does cyfi in unwind show being empathetic?,0
What is the method for extract methyl mercury from soil and fish,0
Discuss the characteristics of the phantom in the term of his mental and physical aspects,1
Why are mold-covered fruit that fall off trees helpful for soil?,1
What does the lotus plant symbolize in odysseus?,1
About affordable and clean energy in the philippines,0
Who are the two major candidates running for texas governor at the moment?,0
Benefits of old denim recycling,0
Can you gather atlantic anomalies or patterns of warm spreading across the atlantic from 1900 to 2024?,0
Nociceptors role in pain in pancreatic cancer,1
Did scott baugh win his election?,0
