text,label
The cuban missile crisis,1
You know the poem “the cry of the dreamer”? what’s the theme for that poem?,2
Are the german and japanese people similar?,0
Benifits of people with mental illness getting help they need,2
History of black friday,2
What does it say in chapter 6 about jay gatsby's work life?,2
Find history that happened in 2022 at merriweather arts and culture,2
What is the primary theme explored in pages 89 to 95 of 'dead end in norvelt'?,2
How much does el caudillo authentic mexican food make a year,2
"What does ""development of labeling theory – presence of social disorganization"" mean?",1
Why did many african americans participate in the great migration?,1
What time frame in general was important in determining and changing the rights and freedom of enslaved african americans,0
Definition of soil structure in soil moisture,0
Rainsford sets two traps for zaroff. how do each of them fail?,1
"In the book "" the lottery"" what does mr.summers symbolize?",1
Give a comparison to adapa and patroclus,1
Write and sop on the effectiveness of community based programs in reducing juvenile delinquency in urdaneta city,1
How would viktor from arcane portray penelope's character in homer's the odyssey?,0
List several questions about deviance and stigma by dr. bruce c. hoskins that create further discussion.,2
What is the difference between validity & reliability?,0
What event can support the fact that the era of good feelings was good,0
How did the narrative surrounding the tulsa race riots evolve in historical accounts and media coverage over the decades?,1
Find theses on mental health in schools,0
Can i have primary sources on the experiments of unit 731,2
What is a good esop communications committee name,2
Will wrist pain from typing cause something?,2
"What is the equation that relates magnetic field, velocity, and force?",1
Lung compliance of a patient with emphysema vs patient with fibrosis,1
Vision and mission of amul company,2
Lincoln: a photobiography: what does freedman say lincoln's toughest decision as president was?,2
Discuss the role of religion in legitimizing the authority of land-based empires during the early modern era.,1
What religious practices and cultural norms have a profound impact on consumer behavior in pakistan.,0
Does religion play an important role in shaping one's identity compared to culture or family,1
Who were the people involved in the second bank of the united states veto,1
What would've happened if katniss really was pregnant in catching fire?,0
Provide learning objectives for a lesson in reflection of lights.,2
Explain quantum physics with three sentences,1
What was the significance of the boston customs office during the boston tea party?,2
What were the trends in jobless claims during the clinton presidency?,2
Factors influencing committing suicide among college students globally,2
Techniques used in child and adolescent therapy based on erik erikson’s theory,2
How to make a best procurement consulting company,0
What does the erg group do and how strong is its reputation?,2
"What are the types of enemas, and how can each type be briefly yet substantially described? include a reference in apa format.",2
What firearm did ottoman field officers use?,2
What are some recent current events that involve motherhood/aging/health that can be related to a psychology of women class?,0
Social media and mental health of gen z,2
What exact year were african americans (men and women) finally given the right to vote in the united states,1
Conservative vs. liberitarian on economy,2
What did roosevelt mean to achieve with his demand for germany and japan’s unconditional surrender?,1
Why ramon magsaysay is the best president,0
Describe briefly the command and leadership style of gen patton and gen eisenhower,2
Which president purchased alaska?,2
"In the republic of texas, did sam houston have a good army when he was president?",1
Commonwealth era of the philippines,1
How many years did christopher columbus explore and what is the route he took,1
Why did harappan civilization fall,2
"How does daisy react to gatsby’s party, and what does this reaction reveal about her character and values?",2
"How does paper made from vegetable scraps compare in terms of texture, durability, and biodegradability?",2
I also want to be a warehouse manager or group administrator. can give more information for that position?,1
Enumerate and describe each of the five types of ionizing radiations,1
How is twitter connected to free speech absolutism?,2
"What are more concepts like ""vishkanyas"" in ancient or medieval india?",1
Best thriller novels involving the internet,0
Rrl for moringa oleifera as biofuel,1
Do you think the u.s. should not sgnificatnly reduce foreign aid?,2
How can nutrient management plans for potash (kcl) fertilizer be designed to minimize chloride runoff from agricultural fields into water?,1
What are some of the things the thriller genre in film consistently doesn’t show?,1
The effectiveness of eucalyptus oil in reducing blackhead,1
When was the last time a republican win the popular vote,2
Has any third-party candidate received electoral college votes in the 2024 u.s. election?,1
What are three examples of imagery from the prologue from “the tattoo” by chris mckinney,2
Why does ponyboy feel that dally can live with his parents not caring about him?,2
Laleh khalili’s heroes and martyrs of palestine,2
Ethical issues involving the use of humans and animals in psychological research?,1
Why did the massachusetts colonists hold the boston tea party?,0
Does china want to invade taiwan?,0
Offer reasons why nuclear weapons are one of the causes why humans could lead to our own extinction,1
Theme of the poem the writer,2
To what extent is the knowledge of health psychology important to practising psychology?,1
Impact and challenges encountered by students from broken families in terms of emotional and behavioral well-being,1
What factors are influencing voter turnout in this election compared to previous ones?,2
What is a supportive communication style,2
Explain the social theory on functionalism,2
Where do the müller cells of the retina extend between?,1
Philippine issues about colorism using in the argument,0
"A sociologist, he studied the relationship between patterns of style adoption and societal class structure",1
Why did huey p. long appeal to so many americans during the great depression?,2
Quotes that relate to the human osyche in macbeth act 1 scene 4,1
Explain the poem risk by anais nin and desiderata by max ehrman,2
"In short, what social structures exist in state?",1
Find research article on personal construct theory,1
Can you find primary sources detailing the events leading up to wwi?,2
Deep research on the level of erythropoietin being high or low in primary polycythemia and secondary polycythemia,2
Is florida predicted to be red or blue for this upcoming election?,2
"What role does fate play in odysseus's journey, and to what extent do the gods interfere in his life?",1
What is junior actual name in the diary of a part time indian?,1
What is the difference between a fixed schedule of reinforcement and a variable schedule of reinforcement?,1
Find research paper on the theory of planned behavior,1
Did eurylochus tell odysseus about circe in the odyssey?,1
Why does social erosion occur after heavy rains and flooding,2
"Parenting style, proactive personality, and career decision self-efficacy among senior high school students",1
Why do people buy journals and notebooks?,1
What states gained electoral votes for 2024,2
If u had to take a wild guess on whos winning the us election who would u say,1
The fibers of a​ ________ muscle are arranged much like a feather.,2
Why was obama able to win ohio,2
Why mid slope area showing highest value of soil quality index,1
What do we call the capacity to do work?,0
Development of modern science,1
How to control performance anxiety?,2
What color was the paint used on german ww2 canned food and jarred food crates?,2
Give me specific objective about study about recycling techniques of denim,1
What is a political action committee(pac)?,2
Did magellan go to the maldives,1
What is the most rare blood type,2
Find literature related to the psychology of dating,1
Was the earth's center described as dark in journey to the center of the earth,2
What is the scientific method in psychology,1
Role of women during pre spanish era,2
Give a rrl about impact of peer pressure in saving habits in college students,2
Why is it beneficial for somatic cells to have two identical copies of a chromosome,2
In which year did the most slaves arrive in barbados?,2
What are the difference in the leaves of c3 c4 and cam plants.,1
Create a title of advocacy of a concept paper about social change,1
In the valley of amazement excerpt by amy tan what was the authors fear?,2
How did eleanor roosevelts background as the first lady create a lasting legacy in social justice movements,0
10 positive advantages on biomass,0
Research articles on how does the rate of muscle glycogen depletion differ during steady-state versus interval cycling exercises?,1
"Where were the british under general howe's command located during the winter of 1777-78?
 saratoga
 boston
 philadelphia
 new york",2
How does media representation of events impact global perception of political conflict,2
What are some uncommon bio psychology of mental disorder?,0
"What are the central themes in mary shelley's ""frankenstein""?",1
Can too much coffee cause death?,2
What are the issues mozart encountered?,2
